Order_ID,Customer_ID,Customer_Name,Product_Name,Category,Sub_Category,Region,State,City,Order_Date,Quantity,Sales,Profit,Discount
ORD1,CUST6390,Anthony Sawyer,Desk,Furniture,Desk,North,Kansas,Brianmouth,2026-04-04,7,3493.07,250.46,0.33
ORD2,CUST9113,Debra Moreno DDS,Mouse,Technology,Mouse,South,Wisconsin,Hernandeztown,2025-08-22,10,3300.47,355.16,0.1
ORD3,CUST8198,Aimee Marks,Table,Furniture,Table,East,Alabama,Michaelborough,2025-08-04,7,3842.85,624.1,0.36
ORD4,CUST6522,Jessica Orr,Desk,Furniture,Desk,East,North Dakota,Rachelburgh,2024-11-08,6,4717.33,324.19,0.04
ORD5,CUST7348,Linda Byrd,Printer Paper,Office Supplies,Printer Paper,East,Missouri,Lake Andrea,2023-11-20,8,4053.64,629.05,0.08
ORD6,CUST5759,Shannon Hamilton,Printer Paper,Office Supplies,Printer Paper,North,South Carolina,West Troy,2026-02-18,8,1409.53,98.92,0.17
ORD7,CUST2221,Jeffrey Meyers,Pen,Office Supplies,Pen,East,Arkansas,North Julieborough,2025-02-18,6,2560.76,646.79,0.21
ORD8,CUST1111,Peggy Jackson,Printer Paper,Office Supplies,Printer Paper,South,North Carolina,Conniefurt,2024-10-27,7,1835.9,384.12,0.4
ORD9,CUST6762,Rebecca Meadows,Folder,Office Supplies,Folder,West,Alaska,Lake Larrymouth,2025-09-15,1,765.45,187.85,0.23
ORD10,CUST2877,Dawn Walker,Notebook,Office Supplies,Notebook,West,Wyoming,Jeffreyborough,2024-05-20,3,2553.3,631.29,0.18
ORD11,CUST1558,Cynthia Warner,Printer Paper,Office Supplies,Printer Paper,East,Iowa,Rodriguezmouth,2025-08-19,7,3648.96,907.58,0.37
ORD12,CUST8417,Frank Green,Pen,Office Supplies,Pen,North,North Carolina,Lancefort,2025-06-03,2,1816.38,492.97,0.21
ORD13,CUST2828,Breanna Stark,Printer Paper,Office Supplies,Printer Paper,East,North Carolina,East Robertshire,2026-01-22,6,4050.35,710.99,0.49
ORD14,CUST5630,David Byrd,Desk,Furniture,Desk,West,Mississippi,Horneshire,2025-03-06,6,3992.34,309.17,0.33
ORD15,CUST8524,Makayla Best,Chair,Furniture,Chair,North,Arkansas,Karenbury,2025-12-20,8,2006.97,193.37,0.47
ORD16,CUST3465,Amanda Wood,Sofa,Furniture,Sofa,West,Nebraska,West Christopherbury,2024-06-06,5,2031.25,394.2,0.2
ORD17,CUST4444,Darin Delgado,Pen,Office Supplies,Pen,North,Montana,Rodriguezfort,2025-08-29,8,2048.89,440.64,0.15
ORD18,CUST2984,Jennifer Ramirez,Folder,Office Supplies,Folder,West,Arkansas,North Kevin,2025-11-10,7,2088.34,390.03,0.22
ORD19,CUST4763,Timothy Evans,Pen,Office Supplies,Pen,West,California,South Matthew,2024-03-11,9,1368.09,265.94,0.46
ORD20,CUST2237,Arthur Hansen,Printer Paper,Office Supplies,Printer Paper,South,South Carolina,New Thomasside,2023-12-08,4,3756.13,964.32,0.07
ORD21,CUST5406,Shannon Frost,Printer Paper,Office Supplies,Printer Paper,East,Washington,New Jerryland,2023-08-05,6,1946.59,155.73,0.33
ORD22,CUST7126,Bradley Salinas,Chair,Furniture,Chair,North,South Carolina,Brendaland,2023-11-16,2,3698.98,575.56,0.25
ORD23,CUST6822,Joseph Tapia,Desk,Furniture,Desk,East,Arizona,West Julie,2025-05-25,6,2311.16,140.78,0.04
ORD24,CUST2596,Jared Johnson,Monitor,Technology,Monitor,West,Kansas,Port Keith,2024-05-31,3,4506.75,1021.79,0.2
ORD25,CUST1691,Jasmine Williams,Sofa,Furniture,Sofa,East,Maryland,Briannaland,2024-11-14,10,3022.0,471.37,0.08
ORD26,CUST1044,Ronald Simpson,Chair,Furniture,Chair,North,Hawaii,Shariberg,2024-09-21,1,1957.4,116.75,0.02
ORD27,CUST7841,Matthew Fuller,Chair,Furniture,Chair,West,New Jersey,West Ashleyside,2025-04-15,6,4531.99,562.05,0.14
ORD28,CUST1551,Michael Edwards,Table,Furniture,Table,North,Iowa,Ramosbury,2023-08-03,1,3305.61,424.41,0.25
ORD29,CUST5309,Philip Bates,Sofa,Furniture,Sofa,South,Nebraska,Jacksontown,2025-08-01,6,1252.64,160.11,0.49
ORD30,CUST2673,Robert Ramirez,Chair,Furniture,Chair,South,Hawaii,East Katrina,2025-05-19,9,4469.9,524.9,0.43
ORD31,CUST4360,Keith Cross,Table,Furniture,Table,East,South Dakota,East Matthew,2026-02-09,9,3417.64,513.77,0.31
ORD32,CUST6643,James Simpson,Keyboard,Technology,Keyboard,South,Indiana,Port Zachary,2024-08-05,7,4847.78,533.81,0.08
ORD33,CUST4617,Danielle Stone,Laptop,Technology,Laptop,South,Massachusetts,Stephaniehaven,2024-01-04,5,2633.85,744.74,0.13
ORD34,CUST1228,Alyssa Martinez,Chair,Furniture,Chair,South,Pennsylvania,Brownfurt,2023-09-26,7,795.24,181.94,0.04
ORD35,CUST5987,Maria Shields,Printer Paper,Office Supplies,Printer Paper,North,Illinois,West Gregory,2025-05-09,1,3392.25,805.96,0.34
ORD36,CUST5585,Lindsey Hartman,Folder,Office Supplies,Folder,West,Nebraska,South Cindy,2025-11-30,6,4742.72,1060.39,0.05
ORD37,CUST3564,Rebecca Jones,Chair,Furniture,Chair,West,Delaware,Charlesville,2024-05-22,7,4545.92,649.79,0.46
ORD38,CUST7887,Richard Diaz,Table,Furniture,Table,East,Kentucky,Dennisport,2023-10-28,5,231.49,61.8,0.25
ORD39,CUST6489,Amy Patterson,Keyboard,Technology,Keyboard,South,Utah,East Wesleyside,2024-08-28,1,4160.79,1230.38,0.4
ORD40,CUST8500,John Miller,Notebook,Office Supplies,Notebook,East,California,Cassandrastad,2026-05-30,1,4564.86,938.58,0.29
ORD41,CUST3880,Brian Strickland,Desk,Furniture,Desk,West,Mississippi,Julieville,2025-07-15,6,3428.32,861.35,0.2
ORD42,CUST8791,Mark Moody,Pen,Office Supplies,Pen,East,Colorado,Port Mary,2025-08-03,10,3949.03,355.02,0.37
ORD43,CUST6162,Mark Petersen,Mouse,Technology,Mouse,West,North Carolina,West Ellenchester,2024-08-19,5,4463.3,973.58,0.11
ORD44,CUST3418,Tanya Flores,Pen,Office Supplies,Pen,South,Massachusetts,Steelehaven,2025-10-05,5,333.24,38.45,0.04
ORD45,CUST1311,Crystal May,Keyboard,Technology,Keyboard,East,Alaska,North Emilychester,2025-08-03,6,4802.82,617.77,0.02
ORD46,CUST1917,Kendra Mullins,Table,Furniture,Table,North,Oklahoma,Lake Michael,2025-02-07,1,427.65,93.75,0.05
ORD47,CUST9646,Kevin Williams,Mouse,Technology,Mouse,South,Oregon,Franklinfurt,2023-09-10,2,840.72,68.94,0.41
ORD48,CUST1477,Madeline Johnson,Mouse,Technology,Mouse,East,Indiana,West Zacharybury,2025-08-18,9,1862.13,359.72,0.01
ORD49,CUST6271,Danielle Swanson,Mouse,Technology,Mouse,South,Alabama,Port Jamesborough,2026-02-16,10,3762.51,397.97,0.3
ORD50,CUST4211,Randy Jones,Chair,Furniture,Chair,North,Oregon,West Brookestad,2025-02-23,1,3953.62,877.11,0.02
ORD51,CUST1788,Leslie Palmer,Printer Paper,Office Supplies,Printer Paper,West,Virginia,North Jasonport,2023-12-17,9,963.21,74.57,0.17
ORD52,CUST7080,Marcia Baker,Sofa,Furniture,Sofa,West,Montana,Lake Donaldhaven,2025-05-22,7,390.59,33.83,0.04
ORD53,CUST3002,Kaitlyn Stewart,Table,Furniture,Table,South,Oklahoma,New Scottport,2025-11-16,5,103.03,30.1,0.01
ORD54,CUST1747,Daniel Anderson,Printer Paper,Office Supplies,Printer Paper,East,Ohio,Coxville,2024-10-15,4,4429.31,695.05,0.2
ORD55,CUST9960,Isaac Ballard,Table,Furniture,Table,South,Nebraska,Sarahstad,2026-03-14,3,2780.83,176.03,0.44
ORD56,CUST3290,Amy Thompson,Pen,Office Supplies,Pen,West,Alabama,East Tyler,2025-03-30,8,3799.91,434.35,0.39
ORD57,CUST1339,Jennifer Smith,Pen,Office Supplies,Pen,North,Minnesota,Hollyland,2025-09-14,5,4087.14,690.54,0.16
ORD58,CUST2149,Vicki Shepard,Sofa,Furniture,Sofa,South,Arkansas,Juarezview,2023-07-22,8,4126.77,529.3,0.37
ORD59,CUST4444,Michelle Thomas,Chair,Furniture,Chair,East,Louisiana,North Annachester,2025-08-17,5,2003.28,323.34,0.07
ORD60,CUST7670,Kelsey Brooks,Table,Furniture,Table,South,Connecticut,East Brendafort,2025-03-16,5,2041.15,461.64,0.12
ORD61,CUST5797,Henry Andrews,Monitor,Technology,Monitor,North,New Mexico,East Dale,2023-12-12,6,3602.22,948.02,0.44
ORD62,CUST4769,Natasha Lewis,Pen,Office Supplies,Pen,East,Colorado,West Timothystad,2024-09-09,3,4712.03,723.81,0.37
ORD63,CUST8575,Victoria Parrish,Notebook,Office Supplies,Notebook,North,Maryland,Port Peterstad,2023-06-24,8,4150.22,217.34,0.05
ORD64,CUST8415,Stephen Ray,Desk,Furniture,Desk,North,Wyoming,Sydneyside,2025-03-18,6,4815.3,495.87,0.3
ORD65,CUST4405,Christopher Newton,Monitor,Technology,Monitor,South,South Carolina,South Brandon,2024-07-26,5,2885.0,695.02,0.48
ORD66,CUST3702,Jonathan Vazquez,Monitor,Technology,Monitor,West,Delaware,West Cheryl,2024-12-31,7,2531.06,447.04,0.45
ORD67,CUST2481,James Graham,Monitor,Technology,Monitor,West,Pennsylvania,Hartmouth,2024-01-27,8,3593.75,478.41,0.32
ORD68,CUST2019,Mercedes Bishop,Folder,Office Supplies,Folder,South,Oregon,Stevenshaven,2025-09-02,8,4334.61,1191.87,0.18
ORD69,CUST3822,Russell Perry DDS,Pen,Office Supplies,Pen,West,Ohio,East Steven,2025-12-11,4,2858.99,423.82,0.47
ORD70,CUST5484,Sharon Cook,Laptop,Technology,Laptop,North,Texas,Aliciaview,2026-02-11,6,942.91,148.54,0.45
ORD71,CUST3100,Isabella Haney,Desk,Furniture,Desk,West,Wyoming,South Nancystad,2023-08-18,2,4722.2,1033.4,0.2
ORD72,CUST6622,Crystal Rodriguez,Keyboard,Technology,Keyboard,East,Idaho,Port Rebeccahaven,2025-02-06,6,4530.65,367.26,0.39
ORD73,CUST3973,Emily Garcia,Keyboard,Technology,Keyboard,North,Ohio,Dunnton,2023-08-19,6,1968.03,130.51,0.3
ORD74,CUST7470,Christina Holden,Monitor,Technology,Monitor,North,Rhode Island,New Joside,2026-03-02,9,2909.44,780.92,0.34
ORD75,CUST4250,Dr. Carol James,Monitor,Technology,Monitor,North,Alabama,Jacksonhaven,2024-06-20,3,3969.24,891.01,0.09
ORD76,CUST2174,Kenneth Hoffman,Sofa,Furniture,Sofa,North,Rhode Island,Danielshaven,2023-11-27,10,3775.48,726.85,0.37
ORD77,CUST1444,Robert Carroll,Folder,Office Supplies,Folder,South,Rhode Island,Thomasland,2025-07-08,3,2722.63,805.26,0.17
ORD78,CUST8734,Brian Myers,Desk,Furniture,Desk,West,Illinois,Shannonmouth,2025-02-10,6,4791.03,1422.65,0.29
ORD79,CUST5812,Caitlin Steele,Sofa,Furniture,Sofa,North,Michigan,Ashleyside,2023-09-11,9,3273.71,933.11,0.38
ORD80,CUST5129,Charles Livingston,Monitor,Technology,Monitor,North,New York,Lake Lisa,2024-06-28,1,3723.22,399.15,0.36
ORD81,CUST9085,Mrs. Brooke Holt,Pen,Office Supplies,Pen,West,Delaware,West Tylerfort,2024-07-12,4,1545.17,303.83,0.21
